base	eval_task	method	train_task	seed	sample_input_sha256	samples
Qwen3-8B	magicoder	flat_e	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Qwen3-8B	magicoder	flat_e	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Qwen3-8B	metamath	flat_e	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Qwen3-8B	tulu	flat_e	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Qwen3-8B	commonsense	flat_e	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	scalar_e	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	scalar_e	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	scalar_e	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	scalar_e	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	magicoder	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	magicoder	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	magicoder	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	magicoder	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	metamath	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	metamath	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	metamath	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	metamath	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	tulu	42	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	tulu	42	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	tulu	42	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	tulu	42	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	magicoder	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	magicoder	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	magicoder	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	magicoder	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	metamath	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	metamath	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	metamath	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	metamath	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	tulu	43	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	tulu	43	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	tulu	43	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	tulu	43	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	magicoder	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	magicoder	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	magicoder	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	magicoder	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	metamath	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	metamath	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	metamath	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	metamath	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
Llama-3.1-8B-Instruct	magicoder	flat_e	tulu	44	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	164
Llama-3.1-8B-Instruct	metamath	flat_e	tulu	44	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	1319
Llama-3.1-8B-Instruct	tulu	flat_e	tulu	44	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	541
Llama-3.1-8B-Instruct	commonsense	flat_e	tulu	44	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	22419
