checkpoint	base	eval_task	method	directory	sample_input_sha256	metrics_sha256	predictions_sha256	scored_sha256
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/magicoder__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	aea4d8fbc7977e56a742759af144f576c2882611bf230457de9bc4ac2f73da3e	fd1a520d3523191ad7c7352b60d111435fd200e0ccba4c7dbf28f3b7f14256e5	0647bbd55a85c46c906293b3630fa220911b5e4cbe305148a5f3dbb53824f867
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/magicoder__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	8fe390f372d9fe09edead743e111bd5238789dcdc78ed666e95076e471aeeefd	9119ef643a655caada98b37b8fe67e10d56162f551fa7a6c8e5b299bd70949a3	ae747ef6455cb92eba888a7412d7c29b6278311b926d140ddcd5932d0350b90d
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/magicoder__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	436750137072ce7431cd62ad22bc56b86c4c09c442f0319548ecc0bce7de9ac7	1c3dce9526c74a8b25157031d168b453d7fdeb30b083bf0667cee76ec7282e8c	6db6d5e71032d54b188e7c9d81e2c404d70f5cf43dacd77a21edf5b33132b656
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/magicoder__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	6201b72a80cc4ca137417add63be6c45ad7ce912436022980752e29c26c01fb1	c88532c5f2e6dc48a02ac1f06e9fe49710cbbf6cda2115695853b5c8cd623f28	b0aa87bc045e484ea6fdaaf56fa5632ce48b80010753418f33daa4e6edd0146d
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/metamath__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	33e9b1f8845fc1fed4852432a7f3b9b1f80cee9fc3eb2567f7946c9089dd5968	b609a8904dd56cd2c0b510d08d2fd69c48bdd93e67a0af02f48a61af65935767	176cb168cae882ca043333adc5826245c3bb997edf05353c676cf3970c64640e
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/metamath__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	3c436b4137d460a88b2d882359f766956e47115a0a8158bdb388f4408dc72498	b2250e484d82fdb87849940c7ec25aafc0e89c6ffd84a52ed4f3e9a258e2701d	a6d236ef5ff7a019f4ebea820215d7f27ba76b8f45e8fe01295b30e277ac365b
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/metamath__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	a6c3263d6de9d25b878c266c88ad4c2aab046b527ce41cf364201b1215d761d5	f30dbb0894dc160b8c27b1a96c8b49197dbb1e58833f20ff95e6908cee0dfacf	2b8f6bfb220bba632319cccf60b1ca747d9e6d1568d8ab7cdda4624f13d7f956
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/metamath__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	e05d4c05153534c2feca9c19f70fa969a6baa4cbf147e60e9ba6bc8607b1187f	ec5b81561310a20c1d335e49e879e75f638b12faec7ee4dbeb6ef18557cc6e4e	96641d7af50e65568b3e9a8b7c61406817806e38d67d3c9092e30c1e44442e83
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/tulu__seed43__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	c5bf0c972df3aa12e7332bdb2e4dc730444fbe2286c27c1e9d40708a3aecc08e	88296a9e11ed36653379151451dff904dd867bfac1b829ca3ef7869d6bf94dad	3a07ba1ea18ecc56fcb976ebc4bfb3d65c0b4d10f3fa966208295c4c0b500e83
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/tulu__seed43__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	3dc8a1ef724efe0bf0fdd9e206698957fc27f3206486f9a3348243c6cd404d6b	8abda46453a61acd0b8c2f92c89c4ed19b1065399eb71cfefe0939dd18762114	fad721671f8f93200bffcc08f79912dc69c53de8042fec43ea6a14e6a5802b9c
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/tulu__seed43__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	eb463d14377e0cd70b2a701249f62cfc9877726d0856b9d2a4eae3e39d9407e8	5501f2db498f8977cc654c876234f78ba11b9402fdf936073cf49fb54f8fdb28	6a3c49226ddea5de54efda00de6e0ae3e63d6f0e5ca28922dab86436ca48f54e
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/tulu__seed43__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	d2ae323587b79cdec5b3961214931f1c970fc7179315d8552a1eb35ba0e90acd	dbf42f0330bcf10e89b7eb772b57b1720511c5a4799908445deb58cd37299df1	8da3f2086813f1b3add6352f1a9cbfc695d4d59c252f896424c47fca5e819557
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/magicoder__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	491e82acadb157b817888cb7ebdf0bc25d23f403443072ed42858b27d8d164b7	cd40ad7063049b4479672157ae5c1974fb2d45105b3f4a557bc572aa7a52c702	6bf1ac717e1f0f3a75fb7a4d58df2df8c0da6722008ffe1c20bedf8a0ce8c076
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/magicoder__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	568884f54e82d8fd9f4d1dc48cb9bfbfa9d65d94b886a3bb5ee432cda3d663cd	d0a406050805e7fe106b394dff7b65a530884a7cdc2e172774715f83d4206ff8	17c626cf093ab0a7123e3ec09720d3cef8ef916dff697b886586153aaa2a6d53
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/magicoder__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	9a0af22345c6fe258de91a32a1a65aafc82bf594fee12b181d07f3e8b0098600	ca0bf7340605a7d56af100bc5ae6d3c030dca1717e0048f203f534bedf989b8b	8e364ff5a27e8b2b7afef07a983786b1d8df188a5e9e3ec76b32b7f1828478b4
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/magicoder__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	45b07409081f662f9069568e817834555c88a800fa883abbab3d28c75f2fd05c	918099399ca3e54fa14b5ec8124eae9075de257b6b34fda909a6db631b556115	62e0df6264f3bb6ffb35d4a2c3e1c6b8facdbb688b306495fa1709c2faf55ec6
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/metamath__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	a451ed32cb8cfb7628c1d743429f0a4d69d1c641b777e7864d64abacbde37ce0	b5fb2c3f7d04e8c20548b4838f4a2991ece8bccc02d912635f28b8266811867e	097951970b4b73476c2d9cb415787a998287f6e6e3e68d037ea9d3f2a287f85d
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/metamath__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	317ae7b0a30a1ee846b496c835cda1758d67dad6314919e79ec2f8cb5966669c	d43ed86e076ac7500052cfdbd7195eb4df01c5da3ac023a34e8d8a5d77cfd63c	5932a8a969c25a5199b9ae29db5d4943403440c530fdd40d5511d18612bcd3e7
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/metamath__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	9f4b7a83cf6ef1d2e650cb8e231d5a431c8258f66b2d62e8cfe5d760caa1d438	5ea74f7c4c819a641352afe0efbbf127b036488d1b6b38f7923e54ad6efd90cc	4e95f76d894dde5a5e64003a16943f8639b5dd6d33ed16a149226bee9172b91c
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/metamath__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	9894bc180e13c5fc8b7a7b60d7c3d0eeaec4b280688112695bdd8714463f35c3	3b5ac05707a0cb9fe75eab78110b90841fbc72e4f1ea06a0dce4ae4f335d83b1	c1bce2ce150a72f71c947609136ee30f51afbc64a8f6289d12d466b6313048ad
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	magicoder	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/magicoder/tulu__seed44__scalar_f	1422a063d74dc146048f5f66a6df1da1bc20fb3d35931cbb8f035d14e04b2308	7af58ec66bf79c07f78c08eb462c9466c73b1e91f10416db009a78569368b60c	ba122a4e4c4627a5d80a2a34ce1cf4135e6e336830a91d6279fd8bf151b7d872	53090c0173d1f95195f633a3c0337353e6dcc41585758feefabc091359e80d14
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	metamath	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/metamath/tulu__seed44__scalar_f	d151ea97a1688ab3499d41547122a4030055666767de57ca2d24045dbf5df44a	d55e4d988f84fa22b14ec8ab98640441fbc731e5005f41852b047fe48e717ceb	5e03d06b9439f0563cbf1f407cc836cb4edaee8f690d82322a54788304e933e5	e265ef8c93a10e6334d8a50e0a06c90b9233e935984ccf07e0523369da6397bb
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/tulu/tulu__seed44__scalar_f	8b315beb61b45ac69a37970c695d060e6cbc8a49bf73d47146d43ddcff8b7dd1	a1f951959b0471507b84390c44f76bd49bd75229640215f78e33842fa90890c8	f414d5afb97a26461f6e7a6899173ecfda5b99fadc989a4a80607ddad76aae89	56f5b3e996e0bd9ba54c223e603faddd2d7912c4f9f46fdf0c99645e8fa7d0dd
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	commonsense	scalar_f	/dataset1/zailong/workspace/peft-sft-lab/reports/analysis_section5/runtime/eval/scalar_f/Llama-3.1-8B-Instruct/commonsense/tulu__seed44__scalar_f	2648eabb1cbb098e170c3f73c830f267228970a75eb49fb3fc8713f6f31f38fa	d1384c2feef80f423fa30580d38809a502f97dcdc15a50139e9eff41d9f41671	1810d75571d7e241328305a585317a01cae3c81792c633fa88728cd123720b6a	4be1b178bdd61ba1f42432d8e1bf32fc57d2d1822d2cc990d2618916ce6c9bec
