base	train_task	seed	method	eval_task	score	samples	primary_metric	metrics_path	predictions_path
Qwen3-8B	tulu	42	hns_f4_s1	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	magicoder	43	original_lora	metamath	82.56254738438211	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__original_lora/predictions.jsonl
Qwen3-8B	magicoder	43	flat_fro	metamath	87.79378316906747	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	43	flat_nuclear	metamath	88.62774829416225	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	43	dg_hard	metamath	82.56254738438211	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	43	hns_f4_s1	metamath	88.77937831690674	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	43	original_lora	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__original_lora/predictions.jsonl
Qwen3-8B	metamath	43	flat_fro	metamath	87.26307808946171	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__flat_fro/predictions.jsonl
Qwen3-8B	metamath	43	flat_nuclear	metamath	87.03563305534496	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	43	dg_hard	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__dg_hard/predictions.jsonl
Qwen3-8B	metamath	43	hns_f4_s1	metamath	86.8081880212282	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	tulu	43	original_lora	metamath	89.15845337376801	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__original_lora/predictions.jsonl
Qwen3-8B	tulu	43	flat_fro	metamath	89.31008339651251	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__flat_fro/predictions.jsonl
Qwen3-8B	tulu	43	flat_nuclear	metamath	89.61334344200151	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	tulu	43	dg_hard	metamath	89.15845337376801	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__dg_hard/predictions.jsonl
Qwen3-8B	tulu	43	hns_f4_s1	metamath	89.76497346474602	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	magicoder	44	original_lora	metamath	84.07884761182714	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__original_lora/predictions.jsonl
Qwen3-8B	magicoder	44	flat_fro	metamath	87.79378316906747	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	44	flat_nuclear	metamath	88.62774829416225	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	44	dg_hard	metamath	84.07884761182714	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	44	hns_f4_s1	metamath	89.31008339651251	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/magicoder__seed44__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	44	original_lora	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__original_lora/predictions.jsonl
Qwen3-8B	metamath	44	flat_fro	metamath	88.47611827141773	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__flat_fro/predictions.jsonl
Qwen3-8B	metamath	44	flat_nuclear	metamath	87.41470811220621	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	44	dg_hard	metamath	84.00303260045489	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__dg_hard/predictions.jsonl
Qwen3-8B	metamath	44	hns_f4_s1	metamath	87.41470811220621	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/metamath__seed44__hns_f4_s1/predictions.jsonl
Qwen3-8B	tulu	44	original_lora	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__original_lora/predictions.jsonl
Qwen3-8B	tulu	44	flat_fro	metamath	89.0068233510235	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__flat_fro/predictions.jsonl
Qwen3-8B	tulu	44	flat_nuclear	metamath	88.77937831690674	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__flat_nuclear/predictions.jsonl
Qwen3-8B	tulu	44	dg_hard	metamath	88.70356330553449	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__dg_hard/predictions.jsonl
Qwen3-8B	tulu	44	hns_f4_s1	metamath	88.40030326004549	1319	strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/metamath/tulu__seed44__hns_f4_s1/predictions.jsonl
Qwen3-8B	base		base	tulu	69.68576709796673	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/base/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/base/predictions.jsonl
Qwen3-8B	magicoder	42	original_lora	tulu	65.80406654343808	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__original_lora/predictions.jsonl
Qwen3-8B	magicoder	42	flat_fro	tulu	72.64325323475046	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	42	flat_nuclear	tulu	70.0554528650647	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	42	dg_hard	tulu	65.80406654343808	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	42	hns_f4_s1	tulu	71.71903881700554	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	42	original_lora	tulu	66.72828096118299	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__original_lora/predictions.jsonl
Qwen3-8B	metamath	42	flat_fro	tulu	71.34935304990758	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__flat_fro/predictions.jsonl
Qwen3-8B	metamath	42	flat_nuclear	tulu	72.64325323475046	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	42	dg_hard	tulu	66.72828096118299	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__dg_hard/predictions.jsonl
Qwen3-8B	metamath	42	hns_f4_s1	tulu	72.45841035120148	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	tulu	42	original_lora	tulu	67.8373382624769	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__original_lora/predictions.jsonl
Qwen3-8B	tulu	42	flat_fro	tulu	69.31608133086876	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__flat_fro/predictions.jsonl
Qwen3-8B	tulu	42	flat_nuclear	tulu	71.1645101663586	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__flat_nuclear/predictions.jsonl
Qwen3-8B	tulu	42	dg_hard	tulu	67.8373382624769	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__dg_hard/predictions.jsonl
Qwen3-8B	tulu	42	hns_f4_s1	tulu	70.79482439926062	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed42__hns_f4_s1/predictions.jsonl
Qwen3-8B	magicoder	43	original_lora	tulu	66.91312384473198	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__original_lora/predictions.jsonl
Qwen3-8B	magicoder	43	flat_fro	tulu	70.79482439926062	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__flat_fro/predictions.jsonl
Qwen3-8B	magicoder	43	flat_nuclear	tulu	70.97966728280961	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	magicoder	43	dg_hard	tulu	66.91312384473198	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__dg_hard/predictions.jsonl
Qwen3-8B	magicoder	43	hns_f4_s1	tulu	71.34935304990758	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/magicoder__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	metamath	43	original_lora	tulu	67.65249537892791	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__original_lora/predictions.jsonl
Qwen3-8B	metamath	43	flat_fro	tulu	72.2735674676525	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__flat_fro/predictions.jsonl
Qwen3-8B	metamath	43	flat_nuclear	tulu	71.1645101663586	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	metamath	43	dg_hard	tulu	67.65249537892791	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__dg_hard/predictions.jsonl
Qwen3-8B	metamath	43	hns_f4_s1	tulu	72.08872458410352	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__hns_f4_s1/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/metamath__seed43__hns_f4_s1/predictions.jsonl
Qwen3-8B	tulu	43	original_lora	tulu	66.17375231053605	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__original_lora/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__original_lora/predictions.jsonl
Qwen3-8B	tulu	43	flat_fro	tulu	71.34935304990758	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__flat_fro/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__flat_fro/predictions.jsonl
Qwen3-8B	tulu	43	flat_nuclear	tulu	72.2735674676525	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__flat_nuclear/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__flat_nuclear/predictions.jsonl
Qwen3-8B	tulu	43	dg_hard	tulu	66.17375231053605	541	prompt_level_strict_accuracy	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__dg_hard/metrics.json	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_flat_dghard_forgetting_three_seed_20260913/eval/Qwen3-8B/tulu/tulu__seed43__dg_hard/predictions.jsonl
